Uganda|BULIISA|BULIISA|BUTIABA|BOOMA|KIGANGAIZI
Uganda|BULIISA|BULIISA|BUTIABA|BOOMA|PIIDA B
Uganda|BULIISA|BULIISA|BUTIABA|BOOMA|WANTEMBO
Uganda|BULIISA|BULIISA|BUTIABA|BOOMA|TUGOMBILI
Uganda|BULIISA|BULIISA|BUTIABA|BOOMA|WANTEMBO
Uganda|BULIISA|BULIISA|BUTIABA|BUGOIGO|BUGUNGU
Uganda|BULIISA|BULIISA|BUTIABA|BUGOIGO|KIGUNGU
Uganda|BULIISA|BULIISA|BUTIABA|BUGOIGO|MUNONDE
Uganda|BULIISA|BULIISA|BUTIABA|BUGOIGO|SERULE A
Uganda|BULIISA|BULIISA|BUTIABA|BUGOIGO|SERULE  B
Uganda|BULIISA|BULIISA|BUTIABA|BUGOIGO|WAISOKE
Uganda|BULIISA|BULIISA|BUTIABA|PIIDA|KAWEIBANDA
Uganda|BULIISA|BULIISA|BUTIABA|PIIDA|KEKEYA
Uganda|BULIISA|BULIISA|BUTIABA|PIIDA|MAGALI
Uganda|BULIISA|BULIISA|BUTIABA|PIIDA|PIIDA A
